Year	Temp
1880	13.7294
1881	13.7821
1882	13.7816
1883	13.7056
1884	13.6431
1885	13.6332
1886	13.6499
1887	13.6005
1888	13.6989
1889	13.7489
1890	13.5256
1891	13.5962
1892	13.5436
1893	13.5325
1894	13.5737
1895	13.627
1896	13.7602
1897	13.7357
1898	13.5996
1899	13.7353
1900	13.7846
1901	13.7112
1902	13.6043
1903	13.516
1904	13.4358
1905	13.5639
1906	13.643
1907	13.4851
1908	13.4171
1909	13.4292
1910	13.4769
1911	13.4265
1912	13.5312
1913	13.5424
1914	13.7195
1915	13.7884
1916	13.5653
1917	13.5454
1918	13.6513
1919	13.6532
1920	13.6455
1921	13.7098
1922	13.6286
1923	13.6454
1924	13.6117
1925	13.7157
1926	13.797
1927	13.7083
1928	13.6849
1929	13.5612
1930	13.759
1931	13.7878
1932	13.7387
1933	13.6118
1934	13.7506
1935	13.7154
1936	13.7414
1937	13.8381
1938	13.8286
1939	13.8414
1940	13.9483
1941	14.0507
1942	14.0076
1943	14.0131
1944	14.1483
1945	14.0284
1946	13.8494
1947	13.8048
1948	13.8059
1949	13.7994
1950	13.6961
1951	13.8428
1952	13.8806
1953	13.9512
1954	13.739
1955	13.7205
1956	13.6563
1957	13.9038
1958	13.9654
1959	13.9153
1960	13.8757
1961	13.9317
1962	13.9435
1963	13.9603
1964	13.7046
1965	13.7756
1966	13.8302
1967	13.8391
1968	13.8226
1969	13.9456
1970	13.8904
1971	13.7752
1972	13.8812
1973	14.0172
1974	13.7811
1975	13.8561
1976	13.7735
1977	14.0502
1978	13.9653
1979	14.0806
1980	14.118
1981	14.1543
1982	14.035
1983	14.1954
1984	14.0022
1985	13.9873
1986	14.0818
1987	14.2228
1988	14.2267
1989	14.148
1990	14.2826
1991	14.2565
1992	14.109
1993	14.1364
1994	14.1899
1995	14.3083
1996	14.1728
1997	14.3694
1998	14.4856
1999	14.2962
2000	14.2789
2001	14.3992
2002	14.4549
2003	14.4668
2004	14.4323
2005	14.5117
2006	14.4666
2007	14.4639
2008	14.3945
2009	14.4887
2010	14.555
2011	14.4305
2012	14.4747
2013	14.52
2014	14.5947
2015	14.7558
